Item,Missouri,Adair,Andrew,Atchison,Audrain,Barry,Barton,Bates,Benton,Bollinger,Boone,Buchanan,Butler,Caldwell,Callaway,Camden,Cape Girardeau,Carroll,Carter,Cass,Cedar,Chariton,Christian,Clark,Clay,Clinton,Cole,Cooper,Crawford,Dade,Dallas,Daviess,DeKalb,Dent,Douglas,Dunklin,Franklin,Gasconade,Gentry,Greene,Grundy,Harrison,Henry,Hickory,Holt,Howard,Howell,Iron,Jackson,Jasper,Jefferson,Johnson,Knox,Laclede,Lafayette,Lawrence,Lewis,Lincoln,Linn,Livingston,McDonald,Macon,Madison,Maries,Marion,Mercer,Miller,Mississippi,Moniteau,Monroe,Montgomery,Morgan,New Madrid,Newton,Nodaway,Oregon,Osage,Ozark,Pemiscot,Perry,Pettis,Phelps,Pike,Platte,Polk,Pulaski,Putnam,Ralls,Randolph,Ray,Reynolds,Ripley,St. Charles,St. Clair,Ste. Genevieve,St. Francois,St. Louis,Saline,Schuyler,Scotland,Scott,Shannon,Shelby,Stoddard,Stone,Sullivan,Taney,Texas,Vernon,Warren,Washington,Wayne,Webster,Worth,Wright
"2,000 to 59,999.....................................................................",36,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,6,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,2
"60,000 to 99,999...................................................................",5,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",14,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"200,000 to 499,999...............................................................",92,-,-,-,-,26,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,9,-,-,-,-,-,-,-,2,-,-,14,-,20,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,3,-,-,-,-,-,-,-,-,-,-,-
"500,000 or more....................................................................",333,-,-,-,-,69,-,-,30,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,12,-,-,-,-,30,-,-,-,-,-,-,-,17,-,-,41,1,46,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,6,-,-,6,10,-,-,-,-,-,-,-,-,-,-
"Turkeys sold                                                                      farms, 2022",444,-,-,-,2,20,4,-,7,-,2,2,-,-,2,1,4,2,-,13,-,-,1,1,4,-,3,4,2,8,4,-,-,1,1,-,6,2,4,9,1,2,-,3,-,-,4,6,3,10,-,9,-,5,4,16,-,8,-,-,10,2,2,4,-,-,26,-,29,1,-,50,-,29,-,-,22,8,-,-,4,3,-,-,8,-,-,-,2,-,-,-,8,3,-,1,2,-,-,7,-,-,-,2,10,-,1,6,10,-,2,-,5,-,7
2017,430,2,-,-,1,24,2,4,5,1,7,-,-,-,2,-,6,-,-,-,-,5,6,-,1,-,6,3,-,4,10,2,-,6,-,-,5,2,2,1,4,-,2,2,-,2,3,2,8,17,4,13,1,2,-,16,-,-,2,-,3,-,-,-,3,-,26,-,27,3,2,55,-,26,2,2,19,1,-,-,3,-,1,1,16,2,2,-,3,-,2,-,5,2,-,7,-,-,2,-,-,3,2,-,3,-,1,9,5,-,-,-,7,-,-
"number, 2022","19,467,726",-,-,-,(D),"2,442,062","327,000",-,"174,099",-,(D),(D),-,-,(D),(D),20,(D),-,97,-,-,(D),(D),(D),-,"192,000",(D),(D),"388,308",(D),-,-,(D),(D),-,42,(D),381,39,(D),(D),-,27,-,-,(D),6,23,"909,007",-,212,-,125,16,"2,592,214",-,46,-,-,"875,799",(D),(D),32,-,-,"1,522,790",-,"1,495,925",(D),-,"3,039,580",-,"2,216,522",-,-,"1,446,250",300,-,-,"222,095",12,-,-,"270,040",-,-,-,(D),-,-,-,70,7,-,(D),(D),-,-,"4,150",-,-,-,(D),"193,466",-,(D),27,"280,152",-,(D),-,"125,207",-,22
2017,"19,073,167",(D),-,-,(D),"1,950,880",(D),33,"260,000",(D),(D),-,-,-,(D),-,24,-,-,-,-,28,(D),-,(D),-,(D),"156,976",-,"282,300","324,740",(D),-,8,-,-,72,(D),(D),(D),140,-,(D),(D),-,(D),(D),(D),537,"966,812",117,823,(D),(D),-,"3,785,132",-,-,(D),-,"170,000",-,-,-,9,-,"1,494,118",-,"1,770,528",42,(D),"2,604,213",-,"1,343,950",(D),(D),"1,265,300",(D),-,-,"168,263",-,(D),(D),"676,350",(D),(D),-,3,-,(D),-,63,(D),-,129,-,-,(D),-,-,45,(D),-,"334,000",-,(D),62,"356,000",-,-,-,(D),-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",712,4,3,2,12,15,3,2,7,10,21,8,1,2,12,1,7,1,-,11,14,1,4,1,5,-,4,8,16,3,10,5,2,6,6,-,31,3,11,9,1,1,9,-,-,3,8,8,15,11,8,15,-,19,7,24,-,10,8,-,16,1,5,6,4,3,9,-,9,-,5,19,-,21,1,3,-,3,-,-,17,2,3,2,9,5,-,3,13,14,3,13,2,4,1,2,3,-,-,5,3,3,-,16,3,1,1,14,15,2,2,5,20,-,13
2017,631,8,1,-,1,27,-,9,5,4,16,-,-,8,4,9,2,-,3,8,14,-,4,-,1,5,9,1,1,-,13,4,-,3,4,-,26,12,1,11,2,4,8,-,2,8,11,1,9,3,12,7,-,5,4,10,1,7,2,2,14,15,-,6,-,1,1,-,13,10,8,9,-,18,5,3,1,4,-,2,7,4,1,5,8,11,5,-,3,3,8,8,7,5,7,5,2,1,-,4,1,2,2,6,13,-,8,30,8,1,2,2,24,-,16
