Item,Georgia,Appling,Atkinson,Bacon,Baker,Baldwin,Banks,Barrow,Bartow,Ben Hill,Berrien,Bibb,Bleckley,Brantley,Brooks,Bryan,Bulloch,Burke,Butts,Calhoun,Camden,Candler,Carroll,Catoosa,Charlton,Chatham,Chattahoochee,Chattooga,Cherokee,Clarke,Clay,Clayton,Clinch,Cobb,Coffee,Colquitt,Columbia,Cook,Coweta,Crawford,Crisp,Dade,Dawson,Decatur,DeKalb,Dodge,Dooly,Dougherty,Douglas,Early,Echols,Effingham,Elbert,Emanuel,Evans,Fannin,Fayette,Floyd,Forsyth,Franklin,Fulton,Gilmer,Glascock,Glynn,Gordon,Grady,Greene,Gwinnett,Habersham,Hall,Hancock,Haralson,Harris,Hart,Heard,Henry,Houston,Irwin,Jackson,Jasper,Jeff Davis,Jefferson,Jenkins,Johnson,Jones,Lamar,Lanier,Laurens,Lee,Liberty,Lincoln,Long,Lowndes,Lumpkin,McDuffie,McIntosh,Macon,Madison,Marion,Meriwether,Miller,Mitchell,Monroe,Montgomery,Morgan,Murray,Muscogee,Newton,Oconee,Oglethorpe,Paulding,Peach,Pickens,Pierce,Pike,Polk,Pulaski,Putnam,Quitman,Rabun,Randolph,Richmond,Rockdale,Schley,Screven,Seminole,Spalding,Stephens,Stewart,Sumter,Talbot,Taliaferro,Towns,Treutlen,Troup,Turner,Twiggs,Union,Upson,Walker,Walton,Ware,Warren,Washington,Wayne,Webster,Wheeler,White,Whitfield,Wilcox,Wilkes,Wilkinson,Worth,Tattnall,Taylor,Telfair,Terrell,Thomas,Tift,Toombs
"Layers sold                                                                        farms, 2022","1,063",21,1,5,1,-,33,7,12,-,2,4,-,4,3,6,8,9,-,1,2,9,12,3,-,-,-,6,6,-,-,1,-,4,9,9,8,4,3,5,-,4,3,2,-,1,-,-,4,2,2,6,35,4,3,3,12,3,4,51,7,28,4,6,21,1,2,4,26,33,1,8,3,63,-,6,10,-,12,9,11,8,3,5,4,8,12,21,-,8,-,7,7,10,6,-,1,32,21,3,1,4,9,6,4,10,-,9,8,5,5,7,4,-,5,20,1,9,2,6,-,2,6,3,-,-,9,3,-,1,-,-,-,6,7,-,-,7,5,28,6,4,4,4,7,-,1,19,20,-,3,13,7,8,11,-,-,1,2,13
2017,"1,131",11,-,5,5,-,37,7,18,-,5,-,1,4,5,-,3,3,2,1,-,3,22,10,9,4,-,7,3,2,1,-,-,-,5,8,11,11,6,1,-,3,1,3,-,13,5,1,2,2,1,5,20,7,-,12,15,12,6,67,14,20,2,4,19,9,1,4,22,27,3,8,20,37,15,10,10,2,17,19,12,3,6,8,7,2,11,11,2,1,-,2,2,10,15,1,15,26,10,8,-,2,17,3,17,2,-,7,6,14,6,3,1,2,7,8,-,2,-,-,1,2,9,2,2,3,11,11,-,4,1,-,-,1,17,6,7,5,7,24,9,3,7,5,16,-,-,12,18,-,2,6,6,14,1,3,2,6,7,4
"number, 2022","16,513,612","601,493",(D),"501,445",(D),-,"492,652",64,(D),-,(D),290,-,(D),70,450,285,342,-,(D),(D),"45,158","131,578",27,-,-,-,"164,006",163,-,-,(D),-,195,(D),"210,396",338,185,63,(D),-,"100,000",(D),(D),-,(D),-,-,100,(D),(D),410,"587,862",80,240,(D),535,72,"47,125","1,009,344",120,"314,033",160,52,"101,783",(D),(D),(D),"431,156","1,204,790",(D),(D),725,"1,325,958",-,87,"7,620",-,"1,099,537","2,365,965","140,120","4,956",41,5,930,112,425,"71,053",-,89,-,450,(D),"115,766",390,-,(D),"303,650","1,929",275,(D),(D),"1,752",34,(D),"171,044",-,174,104,"77,008",17,152,44,-,59,820,(D),157,(D),58,-,(D),220,(D),-,-,290,"70,000",-,(D),-,-,-,90,101,-,-,70,50,"420,088",694,71,167,74,"354,988",-,(D),"193,174","191,204",-,24,585,"120,025","144,446","4,536",-,-,(D),(D),"102,235"
2017,"15,021,171","136,071",-,"730,030","102,062",-,"492,446",(D),"81,573",-,"102,450",-,(D),(D),(D),-,795,90,(D),(D),-,(D),"79,168",(D),(D),302,-,"92,206",45,(D),(D),-,-,-,(D),"230,118",146,(D),146,(D),-,(D),(D),(D),-,145,25,(D),(D),(D),(D),420,"274,904",48,-,"132,585",147,"35,262",(D),"1,246,119","1,345","354,039",(D),(D),"152,108","3,060",(D),(D),"371,168","1,370,315",(D),117,"5,609","988,701","49,034",492,539,(D),"1,279,307",(D),(D),"11,330",118,215,"6,572",(D),285,(D),(D),(D),-,(D),(D),"115,149",497,(D),"116,128","537,123",(D),342,-,(D),175,(D),(D),(D),-,(D),108,"186,360",340,(D),(D),(D),72,783,-,(D),-,-,(D),(D),700,(D),(D),45,(D),"93,504",-,(D),(D),-,-,(D),348,12,581,(D),250,"154,592",147,(D),132,77,"355,160",-,-,"214,372","188,632",-,(D),34,"83,334","330,949",(D),985,(D),"32,060",238,(D)
"Pullets for laying flock replacement sold                      farms, 2022",318,12,2,3,-,-,28,-,5,-,1,5,-,-,-,3,2,-,-,-,3,-,18,-,1,-,-,-,1,-,-,2,-,-,10,3,2,-,-,-,-,-,4,-,-,-,-,-,-,-,-,1,3,-,-,-,-,2,4,11,1,15,-,-,6,7,-,-,7,16,-,-,4,3,1,-,-,-,8,-,-,1,-,-,-,-,-,4,-,1,-,6,-,3,2,-,-,13,2,-,-,-,3,-,-,4,-,1,2,12,-,-,-,2,5,2,-,-,-,5,-,-,-,-,-,-,2,1,-,-,-,-,-,-,3,-,1,4,-,2,5,1,-,2,2,-,-,12,1,-,-,3,-,3,-,-,-,9,-,5
2017,286,4,3,-,-,-,41,-,2,-,1,-,-,-,-,-,1,-,-,-,6,-,4,-,2,-,-,2,-,-,-,-,-,-,1,3,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,3,2,12,-,14,-,1,12,5,1,-,8,15,-,2,9,7,1,-,1,1,13,1,6,2,1,-,-,-,6,-,-,-,-,2,-,5,-,-,1,10,1,2,-,1,-,2,1,4,-,1,3,7,1,1,7,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,-,1,6,1,-,-,-,-,-,-,-,5,2,-,1,-,-,1,-,-,-,2,-,1
"number, 2022","15,001,402","789,800",(D),"150,000",-,-,"1,662,300",-,"291,060",-,(D),300,-,-,-,42,(D),-,-,-,15,-,"1,110,036",-,(D),-,-,-,(D),-,-,(D),-,-,"960,390","342,000",(D),-,-,-,-,-,"179,000",-,-,-,-,-,-,-,-,(D),"153,000",-,-,-,-,(D),"360,000","486,024",(D),"1,308,000",-,-,"270,000","561,525",-,-,"503,010","682,600",-,-,130,(D),(D),-,-,-,"540,000",-,-,(D),-,-,-,-,-,80,-,(D),-,"316,200",-,"276,000",(D),-,-,"442,012",(D),-,-,-,60,-,-,"226,492",-,(D),(D),"794,000",-,-,-,(D),"1,310",(D),-,-,-,75,-,-,-,-,-,-,(D),(D),-,-,-,-,-,-,30,-,(D),"90,020",-,(D),124,(D),-,(D),(D),-,-,"342,500",(D),-,-,189,-,(D),-,-,-,"420,015",-,220
2017,"13,971,804","336,000",(D),-,-,-,"1,465,562",-,(D),-,(D),-,-,-,-,-,(D),-,-,-,180,-,"521,000",-,(D),-,-,(D),-,-,-,-,-,-,(D),"408,000",-,-,-,-,60,-,"173,000",-,-,-,-,-,-,-,-,-,-,(D),-,-,-,(D),(D),"1,055,800",-,"998,735",-,(D),"777,500","400,000",(D),-,"761,230","670,620",-,(D),150,"116,200",(D),-,(D),(D),"760,500",(D),90,(D),(D),-,-,-,30,-,-,-,-,(D),-,"370,000",-,-,(D),"481,012",(D),(D),-,(D),-,(D),(D),"286,000",-,(D),"200,014","448,320",(D),(D),"165,532",(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,30,-,(D),12,(D),-,-,-,-,-,-,-,"195,324",(D),-,(D),-,-,(D),-,-,-,(D),-,(D)
"Broilers and other meat-type chickens sold                farms, 2022","2,018",35,10,9,2,-,68,30,30,2,8,9,-,-,9,-,10,7,1,2,5,-,72,11,1,-,2,9,3,1,1,-,1,3,36,35,3,12,-,19,3,10,28,5,-,3,8,1,1,2,-,6,53,6,13,2,4,13,13,115,1,68,-,-,67,21,9,-,35,38,-,21,1,87,18,-,5,4,68,4,6,4,6,1,7,13,-,2,-,-,1,3,1,30,-,-,41,88,2,2,2,39,20,4,19,46,-,7,7,73,1,1,13,2,3,17,5,1,1,5,-,1,2,2,-,-,3,17,-,7,-,11,2,1,3,1,1,4,13,28,16,6,-,1,6,-,-,47,25,8,18,9,4,103,11,-,-,4,-,12
2017,"2,104",36,16,9,7,-,78,21,35,3,4,3,-,-,4,-,7,2,-,3,3,1,79,7,1,-,1,14,10,4,2,-,-,-,35,36,-,2,2,20,3,8,20,9,2,1,6,2,-,-,-,2,40,14,7,4,1,13,29,144,2,80,2,1,80,7,19,-,41,47,-,31,2,78,20,2,6,7,82,5,8,-,-,-,1,15,-,6,-,-,-,3,2,17,1,-,46,85,10,2,2,26,12,3,20,40,-,6,8,59,4,2,29,2,7,11,9,-,5,9,-,3,-,4,-,-,2,31,2,9,-,6,-,-,1,5,2,3,15,44,10,2,-,-,4,-,-,42,25,14,37,6,4,96,7,4,-,5,-,9
"number, 2022","1,300,052,315","18,079,923","6,353,450","3,378,690",(D),-,"36,735,764","15,154,900","15,446,214",(D),"6,364,000","3,894,300",-,-,"1,750,510",-,"4,027,114","4,820",(D),(D),99,-,"48,573,448","7,044,000",(D),-,(D),"14,784,000","878,000",(D),(D),-,(D),75,"27,213,550","35,440,721",64,"7,535,399",-,"16,644,054",(D),"9,009,659","23,567,220","3,534,706",-,(D),"3,222,400",(D),(D),(D),-,"4,300","29,194,270","2,920","3,955,004",(D),80,"11,155,392","5,076,510","79,725,917",(D),"48,173,357",-,-,"62,908,367","13,095,070","11,108,133",-,"17,531,245","20,792,620",-,"15,628,012",(D),"53,837,031","12,325,550",-,(D),"2,172,000","45,702,416",(D),"3,877,395","4,600",60,(D),"3,249,500","9,688,512",-,(D),-,-,(D),"1,900,000",(D),"13,428,590",-,-,"34,736,213","67,578,186",(D),(D),(D),"22,290,910","12,489,408",53,"11,595,481","35,533,434",-,910,"4,296,961","71,662,009",(D),(D),"8,376,458",(D),(D),"7,958,660","4,345,800",(D),(D),"1,184,000",-,(D),(D),(D),-,-,(D),"12,427,500",-,"8,121,154",-,"13,597,508",(D),(D),24,(D),(D),28,"9,177,295","28,677,516","4,194,000","1,288,055",-,(D),(D),-,-,"15,545,495","11,976,108","10,880,000","21,381,917",(D),"2,452,372","60,250,239","6,871,606",-,-,"3,255,000",-,"7,389,240"
2017,"1,380,543,983","23,946,454","12,499,000","4,367,030","4,381,800",-,"40,123,756","5,758,100","15,699,854","1,728,000","4,785,600",(D),-,-,"3,870,000",-,"4,142,004",(D),-,"3,664,000",75,(D),"48,502,540","4,838,400",(D),-,(D),"17,497,327","2,068,065","1,200,020",(D),-,-,-,"23,489,800","24,288,931",-,(D),(D),"14,777,305",(D),"7,045,260","13,679,050","5,740,353",(D),(D),"4,099,421",(D),-,-,-,(D),"27,422,480",(D),"3,186,000","3,340,800",(D),"9,379,373","11,583,689","86,230,437",(D),"55,679,809",(D),(D),"81,260,488","6,807,800","19,373,000",-,"24,978,929","16,812,820",-,"22,741,160",(D),"48,598,039","9,315,014",(D),"1,200,112","2,916,204","42,188,709",(D),"2,829,505",-,-,-,(D),"11,826,000",-,12,-,-,-,"1,550,000",(D),"8,395,650",(D),-,"38,281,485","61,944,769","4,374,860",(D),(D),"26,204,476","7,565,619",109,"10,513,944","35,002,026",-,102,"5,860,100","48,034,750","2,641,000",(D),"18,639,600",(D),"4,249,151","8,609,933","9,353,200",-,403,"2,463,200",-,"1,725",-,"3,600,000",-,-,(D),"24,250,000",(D),"8,614,200",-,"5,688,190",-,-,(D),"8,201,000",(D),115,"11,170,015","42,278,918","3,802,720",(D),-,-,"952,900",-,-,"22,363,463","21,725,500","17,670,180","43,638,100",(D),"2,866,000","60,986,687","5,035,212","1,242",-,"4,765,900",-,"2,015,660"
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",229,1,-,2,-,-,-,4,2,-,-,3,-,-,6,-,4,7,1,-,5,-,5,-,1,-,-,-,-,-,-,-,1,3,3,3,3,5,-,1,1,1,-,-,-,2,-,-,1,2,-,6,5,6,1,-,4,1,-,1,1,3,-,-,5,2,-,-,1,3,-,1,1,5,-,-,4,-,1,-,-,4,6,1,3,-,-,2,-,-,1,-,1,2,-,-,3,6,-,2,-,7,-,4,1,-,-,7,1,3,-,-,-,-,1,8,-,1,1,-,-,1,2,-,-,-,2,-,-,-,-,-,2,1,3,-,1,4,-,-,-,3,-,1,5,-,-,3,5,-,-,8,1,-,2,-,-,-,-,2
"2,000 to 59,999.....................................................................",11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",30,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,6,-,-,-,-,-,2,-,-,-,-,-,-
"100,000 to 199,999...............................................................",132,8,-,-,-,-,12,7,1,-,-,-,-,-,-,-,1,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,6,-,5,-,-,-,-,2,-,-,-,-,2,-,-,-,6,2,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,6,-,-,-,-,-,-,-,9,-,-,-,7,-,-,-,1,-,-,-,6,-,-,-,2,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,1,-,8,-,-,-,1,-,-,6,-,-,-,-,-,6,-,-,-,-,-,-
"200,000 to 499,999...............................................................",420,5,3,4,-,-,22,12,14,-,3,2,-,-,2,-,-,-,-,-,-,-,8,3,-,-,-,-,3,-,-,-,-,-,12,2,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,10,-,5,-,-,-,5,37,-,16,-,-,8,1,-,-,12,20,-,8,-,26,5,-,-,1,25,-,4,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,8,11,-,-,1,10,14,-,7,3,-,-,3,13,-,-,4,-,1,-,-,-,-,3,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,7,1,4,1,-,-,-,-,-,17,5,-,1,-,1,18,-,-,-,-,-,-
"500,000 or more....................................................................","1,196",21,7,3,2,-,33,7,13,2,5,4,-,-,1,-,5,-,-,2,-,-,47,8,-,-,2,9,-,1,-,-,-,-,21,30,-,7,-,18,1,9,28,5,-,1,4,-,-,-,-,-,32,-,2,2,-,12,5,75,-,49,-,-,52,14,9,-,16,13,-,12,-,53,13,-,1,3,38,1,2,-,-,-,4,7,-,-,-,-,-,2,-,16,-,-,30,64,2,-,1,13,6,-,11,37,-,-,3,55,1,1,8,2,1,9,5,-,-,-,-,-,-,2,-,-,1,5,-,7,-,11,-,-,-,1,-,-,5,27,2,2,-,-,-,-,-,14,13,8,17,1,2,77,9,-,-,4,-,10
"Turkeys sold                                                                      farms, 2022",158,-,-,-,-,-,-,4,-,-,-,3,-,1,-,6,3,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,3,-,3,6,-,-,-,1,-,-,-,-,-,-,1,1,-,2,-,1,1,-,4,3,-,1,-,4,-,4,-,-,-,-,-,4,-,2,1,-,-,-,6,1,-,3,-,1,-,-,-,6,4,5,-,-,-,-,-,2,2,-,1,1,4,-,1,-,3,3,-,-,-,2,-,-,-,6,-,4,-,4,-,-,-,-,-,3,2,3,-,-,1,-,-,-,-,-,-,-,-,-,1,3,-,5,-,2,-,-,-,-,-,-,-,1,-,4,1,-,-,-,-,5,-,5
2017,116,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,2,-,-,-,6,-,3,-,-,-,-,-,5,-,1,-,-,-,-,-,-,1,1,-,1,-,1,-,-,-,-,1,-,-,-,-,-,1,-,1,2,-,1,1,-,-,-,1,-,-,3,2,-,-,-,-,3,-,2,-,4,1,1,3,6,-,1,-,-,-,-,-,-,-,-,-,-,-,3,1,-,1,7,1,-,-,-,1,-,-,-,11,-,1,-,2,-,-,-,3,-,-,-,-,-,6,-,1,2,-,6,1,-,1,-,-,-,-,-,-,-,-,2,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"number, 2022","7,238",-,-,-,-,-,-,8,-,-,-,6,-,(D),-,60,4,(D),-,-,-,(D),-,-,-,-,-,-,-,-,(D),-,-,(D),600,-,39,236,-,-,-,(D),-,-,-,-,-,-,(D),(D),-,(D),-,(D),(D),-,62,60,-,(D),-,56,-,16,-,-,-,-,-,4,-,(D),(D),-,-,-,120,(D),-,450,-,(D),-,-,-,12,40,32,-,-,-,-,-,(D),(D),-,(D),(D),32,-,(D),-,12,111,-,-,-,(D),-,-,-,6,-,8,-,16,-,-,-,-,-,11,(D),44,-,-,(D),-,-,-,-,-,-,-,-,-,(D),7,-,49,-,(D),-,-,-,-,-,-,-,(D),-,79,(D),-,-,-,-,79,-,200
2017,"1,684",-,-,-,-,-,-,-,(D),-,(D),-,-,-,-,-,(D),-,-,-,6,-,30,-,-,-,-,-,30,-,(D),-,-,-,-,-,-,(D),(D),-,(D),-,(D),-,-,-,-,(D),-,-,-,-,-,(D),-,(D),(D),-,(D),(D),-,-,-,(D),-,-,3,(D),-,-,-,-,266,-,(D),-,4,(D),(D),15,60,-,(D),-,-,-,-,-,-,-,-,-,-,-,12,(D),-,(D),52,(D),-,-,-,(D),-,-,-,31,-,(D),-,(D),-,-,-,36,-,-,-,-,-,18,-,(D),(D),-,46,(D),-,(D),-,-,-,-,-,-,-,-,(D),(D),(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",875,22,-,2,1,-,35,4,20,-,2,3,-,2,1,8,6,4,3,1,-,4,10,1,3,5,-,5,2,-,1,-,-,4,12,3,6,4,4,4,-,4,3,2,-,2,-,-,5,2,2,2,25,1,2,3,6,-,3,49,3,24,-,12,18,3,3,4,25,25,5,5,2,56,1,3,7,2,14,7,8,8,2,-,5,11,4,6,-,1,9,4,1,10,4,-,1,24,4,1,1,2,3,4,10,6,-,1,2,5,3,6,1,8,4,11,-,-,-,2,-,2,5,-,1,1,6,7,-,2,-,-,2,7,7,-,-,2,4,27,1,-,4,3,7,-,1,16,17,1,-,6,9,12,11,2,1,8,1,18
2017,790,11,-,2,4,1,36,1,11,-,5,5,-,2,2,5,5,6,5,2,-,4,8,4,2,2,-,5,9,1,-,-,1,2,4,7,4,8,5,2,-,4,3,2,-,-,1,1,1,4,1,4,12,7,-,12,-,2,6,53,-,20,2,-,4,1,3,2,24,31,2,6,7,38,6,8,5,3,17,4,6,-,4,12,2,1,5,6,3,3,1,2,-,6,8,1,6,27,4,2,5,1,5,2,7,4,-,11,7,20,6,3,5,8,2,1,-,-,-,-,-,7,-,-,1,2,11,7,-,3,-,-,1,1,10,-,2,5,1,10,-,2,1,6,7,-,-,10,12,-,3,4,6,14,-,-,2,5,-,4
