Item,Kentucky,Adair,Allen,Anderson,Ballard,Barren,Bath,Bell,Boone,Bourbon,Boyd,Boyle,Bracken,Breathitt,Breckinridge,Bullitt,Butler,Caldwell,Calloway,Campbell,Carlisle,Carroll,Carter,Casey,Christian,Clark,Clay,Clinton,Crittenden,Cumberland,Daviess,Edmonson,Elliott,Estill,Fayette,Fleming,Floyd,Franklin,Fulton,Gallatin,Garrard,Grant,Graves,Grayson,Green,Greenup,Hancock,Hardin,Harlan,Harrison,Hart,Henderson,Henry,Hickman,Hopkins,Jackson,Jefferson,Jessamine,Johnson,Kenton,Knott,Knox,Larue,Laurel,Lawrence,Lee,Leslie,Letcher,Lewis,Lincoln,Livingston,Logan,Lyon,McCracken,McCreary,McLean,Madison,Magoffin,Marion,Marshall,Martin,Mason,Meade,Menifee,Mercer,Metcalfe,Monroe,Montgomery,Morgan,Muhlenberg,Nelson,Nicholas,Ohio,Oldham,Owen,Owsley,Pendleton,Perry,Pike,Powell,Pulaski,Robertson,Rockcastle,Rowan,Russell,Scott,Shelby,Simpson,Spencer,Taylor,Todd,Trigg,Trimble,Union,Warren,Washington,Wayne,Webster,Whitley,Wolfe,Woodford
2017,"289,214,287","6,085,612","2,741",38,"7,846,000","7,321,378",21,420,170,(D),-,260,(D),58,"9,957,544",700,"3,785,135",(D),"8,390,100",288,"5,051,800",(D),583,"1,266","2,165,400",750,-,"7,007,600",(D),(D),"7,058,200",472,(D),-,(D),738,-,270,"3,595,500",120,196,(D),"51,374,673","3,489,038","2,274,259",246,-,(D),"1,500",160,"1,140",(D),-,"26,163,765","18,548,000",86,-,-,372,"13,500",-,(D),(D),(D),-,-,-,-,-,708,(D),(D),-,"1,178,018",48,"29,336,765","4,175",-,(D),"3,464,448",-,-,"2,694,140",-,320,"1,490,140","14,026,000",-,"2,075","7,186,800",250,(D),"19,481,200","7,400",56,-,"1,940",-,-,(D),527,(D),(D),-,-,(D),"1,110",(D),(D),"2,262,460","3,374,390","1,200",(D),-,(D),870,"5,706,060","23,020,510",(D),(D),880
2022 farms by number sold:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 to 1,999..............................................................................",382,7,9,7,-,13,-,-,6,4,2,-,7,3,-,9,-,2,-,3,-,-,5,8,18,-,-,3,2,5,1,1,2,-,2,2,-,8,-,2,6,4,7,3,8,2,2,13,-,5,10,-,5,-,2,4,-,1,5,2,-,4,6,4,-,-,-,2,1,7,-,9,1,1,1,4,4,2,4,10,-,2,1,2,2,1,-,3,2,-,12,3,2,3,1,-,-,-,-,-,7,-,5,3,7,2,6,2,6,6,-,3,3,3,5,8,2,-,5,5,-
"2,000 to 59,999.....................................................................",16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,3,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"60,000 to 99,999...................................................................",2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
"100,000 to 199,999...............................................................",21,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,3,-,-,-,-
"200,000 to 499,999...............................................................",144,12,-,-,-,12,-,-,-,-,-,-,-,-,1,-,2,-,3,-,3,-,-,-,1,-,-,9,-,-,4,1,-,-,-,-,-,-,-,-,-,-,15,4,5,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,15,-,-,-,-,-,-,-,-,-,2,11,-,-,3,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,-,-,2,-,7,5,-,-,-
"500,000 or more....................................................................",231,-,-,-,7,7,-,-,-,-,-,-,-,-,9,-,3,-,7,-,8,-,-,-,4,-,-,3,1,-,7,-,-,-,-,-,-,-,2,-,-,-,52,1,-,-,-,1,-,-,-,1,-,28,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,26,-,-,-,5,-,-,2,-,-,-,3,-,-,7,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,2,16,-,-,-
"Turkeys sold                                                                      farms, 2022",218,7,6,2,-,-,-,-,2,2,-,-,6,-,4,-,2,-,2,-,-,-,2,5,8,5,1,1,4,-,5,-,-,-,-,5,-,3,-,1,1,-,2,5,3,2,6,4,-,2,13,-,1,-,5,-,-,-,-,4,-,1,4,3,1,-,-,-,5,2,-,6,-,-,-,6,1,-,-,8,-,-,5,-,3,-,-,-,1,-,8,3,1,-,1,-,2,-,-,-,4,-,1,-,3,2,6,4,-,5,-,1,-,1,-,6,-,1,1,-,1
2017,172,-,5,-,-,5,-,-,2,3,-,4,2,6,4,-,-,3,3,3,-,-,-,3,2,1,-,-,1,-,4,3,-,-,-,-,-,1,-,-,6,3,3,1,2,2,2,2,-,-,7,2,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,3,-,3,-,-,-,3,4,-,-,-,-,-,3,3,3,2,-,-,1,-,1,2,2,12,-,-,3,-,-,-,-,-,4,-,-,7,4,2,3,7,2,2,-,1,-,1,-,-,6,-,-
"number, 2022","2,073,062",25,123,(D),-,-,-,-,(D),(D),-,-,32,-,236,-,(D),-,(D),-,-,-,(D),221,873,62,(D),(D),51,-,"772,000",-,-,-,-,25,-,(D),-,(D),(D),-,(D),102,(D),(D),"188,006",16,-,(D),80,-,(D),-,19,-,-,-,-,(D),-,(D),18,9,(D),-,-,-,20,(D),-,115,-,-,-,"443,000",(D),-,-,78,-,-,30,-,53,-,-,-,(D),-,98,(D),(D),-,(D),-,(D),-,-,-,602,-,(D),-,36,(D),824,58,-,447,-,(D),-,(D),-,9,-,(D),(D),-,(D)
2017,"652,833",-,52,-,-,44,-,-,(D),(D),-,4,(D),12,40,-,-,240,(D),67,-,-,-,(D),(D),(D),-,-,(D),-,(D),15,-,-,-,-,-,(D),-,-,760,50,9,(D),(D),(D),(D),(D),-,-,46,(D),-,-,-,-,-,-,-,"3,000",-,-,-,-,-,-,-,-,-,106,-,27,-,-,-,"233,500","1,000",-,-,-,-,-,6,117,750,(D),-,-,(D),-,(D),(D),(D),126,-,-,50,-,-,-,-,-,120,-,-,415,312,(D),"2,416",9,(D),(D),-,(D),-,(D),-,-,6,-,-
"Ducks, geese, and other miscellaneous",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"poultry sold                                                                     farms, 2022",692,14,10,20,2,5,4,2,6,-,-,7,2,-,6,12,7,6,6,5,2,1,8,4,18,4,5,5,2,1,6,7,11,2,3,9,2,12,5,-,10,-,10,20,-,2,2,17,2,6,10,-,-,6,6,6,-,3,-,5,-,1,12,8,4,-,-,4,2,17,2,7,-,8,2,8,12,1,7,4,-,2,15,2,13,10,2,8,1,4,5,6,14,7,-,-,9,4,-,-,22,-,4,2,2,6,18,6,6,4,11,2,5,-,31,6,17,3,6,5,9
2017,727,1,10,13,2,15,-,6,4,1,6,6,5,4,5,10,5,-,3,8,6,1,12,25,21,10,-,11,3,-,2,7,1,4,-,1,-,4,4,10,4,6,19,8,3,8,3,10,5,13,16,6,4,2,7,2,5,10,-,7,-,2,15,-,2,-,-,10,2,8,4,13,2,1,6,6,12,-,2,5,-,1,10,6,6,1,2,5,2,3,18,3,6,6,10,3,5,-,-,3,11,2,11,-,14,2,9,10,3,8,26,4,2,-,35,25,14,1,2,2,2
